wallet,label,group,chain,status,included_in_aggregate,source_path,analysis_summary_path,realized_pnl_usd,matched_trade_count,winners_count,losers_count,win_rate,unsupported_transactions_count,rows_requiring_valuation_after_count,unsupported_fifo_transactions_count,skipped_missing_valuation_count,top_losing_tokens,message
3rv3sVUvkoLzCWpGGc6DSA9ZJDWBdjCQLB26jLeGchMY,Axiom 11,Axiom,solana,excluded_analysis_failed,false,data/raw/solana/Axiom_11/wallet_snapshot_20260329T044003Z_trade_report.json,,,0,0,0,,,,,,,Solana snapshot is missing a non-empty 'wallet' field
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,solana,excluded_analysis_failed,false,data/raw/solana/Axiom_10/wallet_snapshot_20260329T044223Z_trade_report.json,,,0,0,0,,,,,,,Solana snapshot is missing a non-empty 'wallet' field
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,solana,excluded_analysis_failed,false,data/raw/solana/FOMO_2/wallet_snapshot_20260329T044136Z_trade_report.json,,,0,0,0,,,,,,,Solana snapshot is missing a non-empty 'wallet' field
