wallet,label,group,chain,status,included_in_aggregate,source_path,analysis_summary_path,realized_pnl_usd,matched_trade_count,winners_count,losers_count,win_rate,unsupported_transactions_count,rows_requiring_valuation_after_count,unsupported_fifo_transactions_count,skipped_missing_valuation_count,unsupported_patterns,top_losing_tokens,message
3rv3sVUvkoLzCWpGGc6DSA9ZJDWBdjCQLB26jLeGchMY,Axiom 11,Axiom,solana,included_supported_subset,true,data/raw/solana/Axiom_11/wallet_fetch_metadata_20260329T045443Z.json,data/raw/solana/Axiom_11/wallet_fetch_metadata_20260329T045443Z_analysis_summary.json,-92.91094863413999999999999999,16,0,16,0,5,0,1,0,failed_transactions:5,"Hxrn87ryK5vhx4PSrTytV2UZDevCk7VRdJGD2Dpopump,FM7cEUqXbkV2dbUyENA82xMkduUkY1gpbJeMVPhhpump,8sbrrb2Zitcut6LbTRd2i51MUo5CuRmGxSGqaeJibQXB,7MokUEbY8YkSjkKUgXnBmjUQB67ADCKsG7BEimdBpump,Csdoc8vo3ryZ9tSiXxWYsZRTKCMmywG5pR8SC47Hab6B",
4gT9rv1xGy3NsDJKpaE1nFvARSXBovRsVQuNEWBT11bN,Axiom 10,Axiom,solana,included_supported_subset,true,data/raw/solana/Axiom_10/wallet_fetch_metadata_20260329T045544Z.json,data/raw/solana/Axiom_10/wallet_fetch_metadata_20260329T045544Z_analysis_summary.json,-67.99026664658999999999999998,12,1,11,0.08333333333333333333333333333,3,0,1,0,failed_transactions:3,"HFHMybtPneaeEMrgyuzNLhrxtUBV3MyUqJBr8sc8pump,3FcbiTV2fgFHrQtPV91hderYtw5gtDthg5gy9MJ1pump,24HqqUJLosxXeYGuzVTmiDcFcj554cDQUPJqXC6tpump,6LdwhVdpLSMLWs9VfEefUQWmtdk3MXJwcDWe4Dqfpump,GHPSby2g1XRgf5TRG3RPE8Z3ARDRn2SUfB6XeQBTbonk",
CcNvTgSzJpN1mUcpnidothDewazN56ZUaAPEZX4o8kPn,FOMO 2,FOMO,solana,included_supported_subset,true,data/raw/solana/FOMO_2/wallet_fetch_metadata_20260329T045515Z.json,data/raw/solana/FOMO_2/wallet_fetch_metadata_20260329T045515Z_analysis_summary.json,-17.36147999999999999999999997,16,0,2,0,2,0,0,0,multiple_token_deltas_or_multi_leg:2,"8Ak4jBMfwdBxvze3DgDcieEBZCP2xjNxrTCfggmkpump,4d7hkcY3MGAmYRi1vYNaDwi9C5Sfvdi4FqWCiLhtpump",
